"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.8902522319637","105.158952194237","111.897769202661","114.818120411836","112.800401804079","112.330915188474","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.0509235108551","27.5431425134929","29.7962481046854","25.2864287003902","24.5020630055897","34.2327207945479","21.793201373031","18.862575764514","20.7123183564241",
"Albania","ALB","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.9250758129726","67.4524044101273","70.3097317457696","70.1754140488105","72.1806633606422","73.1812519352364","68.1382711252925","66.3900717847667","63.6106665234143","57.6472416886546","60.6989523536247","68.7202964808134","63.6144426435859","59.7323205592001","54.9262850702957",
"Andorra","AND","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105.587446558029","100.296480087119","89.35644427914","96.1997591341184","118.174002290536","101.050463705997","79.4866212034737","",
"Argentina","ARG","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","21.6715343239319","18.7641792149707","17.2659768639598","17.9507787335224","17.442243973229","16.1872739156397","17.6801283447187","18.6515423471004","21.1501261693377","22.2309581701541","24.9458431556622","24.0289311647216","19.433967474016","27.4901879012225","30.371312312636","28.7594771456156","20.3441509421658","26.4137652814314","29.3715442265546","31.2808593286715","32.9601091605569","48.4498895498259","45.9987644434275","46.2096995159375","41.748912658676","32.5730009425071","32.8696858004227","47.5856773657119","42.6744673245575","80.0556763398612","32.4207077674654","22.7990352906324","22.4785777565544","25.9935337266753","26.5787635954009","27.8679507463713","28.2203103254734","30.3761991265421","32.502843552354","35.5044239797124","34.4516920194227","37.2433637548649","62.4210861219528","50.6278207919725","41.8949109861802","34.940798126021","28.168600324333","25.8325151090984","21.961534168157","25.6637910223591","25.3323186486328","26.4659610716203","30.6012215884466","33.1873915714789","34.4321395694616","40.4276279370297","37.9322482578709","38.8683983871173","","","","","","",
"Armenia","ARM","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.5298790880604","27.8156975797733","36.3814480131175","41.3884619477093","43.1497137322292","51.3010287372558","48.2599761094213","54.3707768513385","58.2780692643235","62.361391610247","65.4382865905868","83.4040608437763","74.528459030572","64.9919620965304","68.796507860184",
"American Samoa","ASM","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
